Difficult,Average,Nan Hai,Grand Total
422,182,106,710
100,324,360,784
810,0,401,1211
824,0,576,1400
0,0,1531,1531
35,46,854,935
459,754,12,1225
0,1273,0,1273
237,1162,194,1593
81,852,457,1390
67,949,0,1016
172,746,0,918
0,1231,0,1231
6,1309,0,1315
0,1056,0,1056
0,1059,0,1059
0,1137,0,1137
0,715,120,835
0,1391,34,1425
61,723,11,795
382,197,684,1263
0,262,695,957
12,835,255,1102
60,950,205,1215
40,287,1196,1523
0,379,870,1249
0,501,1070,1571
0,313,1294,1607
0,86,1431,1517
0,905,379,1284
0,1077,6,1083
0,590,817,1407
0,6,1679,1685
0,1,1400,1401
0,0,1534,1534
0,0,1050,1050
0,0,644,644
0,0,1043,1043
0,0,1081,1081
0,0,1224,1224
0,0,416,416
20,100,1263,1383
0,0,1034,1034
0,0,1001,1001
23,0,1204,1227
5,0,1830,1835
0,0,1677,1677
0,0,1437,1437
0,66,894,960
16,9,202,227
439,14,0,453
452,515,0,967
18,1189,0,1207
135,865,0,1000
178,0,703,881
6,0,932,938
0,0,482,482
0,61,730,791
31,28,1349,1408
0,195,923,1118
0,0,696,696
0,0,919,919
0,0,2017,2017
0,0,1293,1293
0,0,1980,1980
0,36,670,706
0,0,1227,1227
51,0,1149,1200
0,0,1148,1148
0,0,1365,1365
0,0,1200,1200
0,0,1146,1146
0,0,1819,1819
500,0,583,1083
0,0,1418,1418
0,87,1281,1368
0,773,0,773
0,708,0,708
0,972,55,1027
8,865,0,873
0,485,1610,2095
0,257,1184,1441
0,0,1602,1602
0,0,1687,1687
0,50,1352,1402
0,50,1583,1633
0,0,1537,1537
132,0,1634,1766
0,83,1388,1471
0,0,1421,1421
0,233,1167,1400
0,67,1335,1402
0,38,1318,1356
500,566,444,1510
0,1471,198,1669
0,312,1488,1800
51,33,1642,1726
0,0,1200,1200
26,104,1586,1716
2,0,1279,1281
58,4,1254,1316
30,0,668,698
180,400,0,580
603,188,735,1526
110,100,1517,1727
0,320,880,1200
84,448,468,1000
64,621,0,685
702,74,57,833
0,0,1314,1314
0,0,1604,1604
96,0,1373,1469
5,0,1543,1548
0,0,1810,1810
0,20,995,1015
0,0,1436,1436
0,0,1433,1433
201,0,1059,1260
80,0,1471,1551
121,0,1331,1452
151,366,126,643
37,63,1060,1160
164,80,148,392
0,613,56,669
0,177,1334,1511
71,331,704,1106
232,530,241,1003
70,0,1543,1613
103,0,1738,1841
106,0,1256,1362
27,16,1078,1121
17,201,1254,1472
0,353,660,1013
501,266,417,1184
0,330,1247,1577
0,1035,1013,2048
132,513,1182,1827
0,0,2208,2208
0,69,1554,1623